Musée,Nuléro de caisse,inventaire,inventaire clean,pictures filenames,matériau,matériau simplifié,"matériau (sous-type)
",incertitude sur le matériel,typologie,typologie@en,datation,incertitude sur la datation,provenance (country code),provenance,provenance@en,incertitude sur provenance,nombre de fragements,number of fragments clean,typologies de fragments,taille,poids,lacunaire (observations),% lacunaire,Integrity,degradation state,condition state,weapon,autre dégradations visibles ,observations ,Unnamed: 12,autres observations,Unnamed: 13,Unnamed: 15,obaservations ,NR,"NR 
 collegato",Relazione,Inventario MGGC,Collocazione fisica,"Sala
 mostra",Didascalia,Riproduzione digitale,Consistenza,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",material_to_technic,Tecnica,"Tipologia riprod. 
in mostra",Soggetti,"Titolo 
 originale",Titolo museale,Titolo @en,Data,Scopritore,Autore_extended,Autore,Traduttore,Disegnatore,Incisore,Editore,"Luogo 
 editore","Preparatore 
 museale",Committente,Collezione_extended,Collezione,"Ente 
 conservatore","Luogo
 conservazione",provenance_file,Regno,Phylum,Classe,Ordine,Famiglia,Genere,Specie,Taxon_data,TIPO,Periodo_geologico,Età_specifica,Formazione_geologica,Ambiente_deposizionale,Stato_geografico_raccolta,Luogo_raccolta
MIC,,"1238,1","1238,1","1238,1 (1).JPG
1238,1 (2).JPG
1238,1 (5).JPG
1238.png",pâte siliceuse [faïence],faïence,pâte siliceuse,FALSE,lampe (?) ; Brûloire à encens parfum (?),lamp (?) ; incense burner for scented incense (?), V-VII,TRUE,MED,{Europe} (Production romaine ou byzantine ?) ,{Europe} (Roman or Byzantine production?),TRUE,5,5,"1 très gros  environ 26 cm de diamètre, et les autres assez gros aussi environ 10 cm de long","entre 26 et 30 cm de diamètre (profil archéo incomplet), environ 10 cm de h",lourd,entre 30 et 40%,30-40,incomplete,"melting of the glaze, powderiness, fusion of exogenous elements",bad,incendiary grenade,"clocage de la surface importante, fonte de la glaçure, au revers écaillage, incrustations de dépôts pulvérulent dans le revêtement (fusion des deux), par endroit clocage important avec couche superficielle très fine et trouée. ","cette objet provient de la vitrine du vieux musée d'avant guerre. Dans l'inventaire il est désigné comme ""porte-fruit"" romain. Erreur  d'appelation, anacrhonisme. ",,"cette objet provient de la vitrine du vieux musée d'avant guerre. Dans l'inventaire il est désigné comme ""porte-fruit"" romain. Erreur  d'appelation, anacrhonisme. ",,,,"1238,1",,,,,,"the historical inventory refers to this object as a “Roman fruit holder”, an anachronism. Probably a Byzantine lamp or perfume burner.",,,lamp (?) ; incense burner for scented incense (?),"oil lamps, incense burners",pâte siliceuse [faïence],pottery forming techniques,,,,Ancient scent burner,, 400-699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv,,,,,,,,,,,,,,,
MIC,,"5723,1","5723,1","5723,1 (1).JPG
5723,1 (5).JPG
5723.png",pâte siliceuse [faïence],faïence,pâte siliceuse,FALSE,bol,bowl,- 1550 - 1286,FALSE,818,"Egypte {Afrique, Nord} (XVIIIe dynastie)",Egypt {North Africa} (18th dynasty),FALSE,15,15,"2 plus de 6 cm, 5 entre 4 et 6 cm, 6 entre 4 et 2, 2 mois de 2 cm","12,5 cm de diamètre 4 cm de h",,"0,5",50,complete archeological profile,"burn mark, broken / stuck",poor,incendiary grenade,traces de  noircissements mais aussi de rouge. Oxydation ? ,"object already very incomplete before the bombardment (archaeo profile complete but half missing), blue paste color",,"objet déjà très lacunaire avant le bombardement (profil archéo complet mais moitié manquante), pâte de couleur bleu ",,,,"5723,1",,,,,,Egyptian bowl with bluish siliceous paste. Vegetal decoration. ,,,bowl,bowls (vessels),pâte siliceuse [faïence],pottery forming techniques,,vegetals,,Egyptian bowl,,- 1550 - 1286,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv,,,,,,,,,,,,,,,
MIC,,"2963,1 ou 2964,1 ou 2965,1","2963,1
2964,1
2965,1","2963,1-2965,1 (10).JPG
2963,1-2965,1 (11).JPG
2963,1-2965,1 (12).JPG
2963,1-2965,1 (7).JPG",pâte siliceuse [faïence],faïence,pâte siliceuse,FALSE,brique,brick,- VI,FALSE,364,Iran {Asie} (Achéménide),Iran {Asia} (Achaemenid),FALSE,5,5,très gros : entre 10 et 14 chacun,"hauteur 8,5-9 cm, un ensemble de 3 briques de 33 cm de Long, largeur 12 cm ",lourd ,3 briques quasi complètes ,10-15,complete archeological profile,"broken / stuck, burn mark, powderiness, lack of adhesion of the glaze",poor,incendiary grenade,"noircissements des décors vitrifiés, rouge identique au bol éguptien également sur deux des briques. Craquelures des décors, porosité +++ de la matière et éffritements +++ à manipuler avec précaution","object already very incomplete before the bombardment (profilebricks from the palace of Darius in Susa, on deposit at the Musée du Louvre. An undamaged post-war example on display in the museum's permanent collections.",,"briques du palais de Darius à Suse, dépôt du musée du Louvre. Exemple non endommagé post guerre exposés dans les collections permanentes du musée.",,,,"2963,1
2964,1
2965,1",,,,,,architectural bricks from the palace of Darius Susa. scrolls and palmettes ,,,brick,molded brick,pâte siliceuse [faïence],pottery forming techniques,,,,Brick from Darius' palace in Susa,,- 600 - 501,,,,,,,,,,,Donation from the Louvre Museum,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv,,,,,,,,,,,,,,,
MIC,,"2963,1 ou 2964,1 ou 2965,1","2963,1
2964,1
2965,1","2963,1-2965,1 (10).JPG
2963,1-2965,1 (11).JPG
2963,1-2965,1 (12).JPG
2963,1-2965,1 (7).JPG",pâte siliceuse [faïence],faïence,pâte siliceuse,FALSE,brique,brick,- VI,FALSE,364,Iran {Asie} (Achéménide),Iran {Asia} (Achaemenid),FALSE,,,,"2 briques 21,5 cm, largeur 12 cm ",, 1 compléte une lacunaire à 50-60 % ,<40,complete archeological profile,"broken / stuck, burn mark, powderiness, lack of adhesion of the glaze",poor,incendiary grenade,,,,,,,,"2963,1
2964,1
2965,1",,,,,,architectural bricks from the palace of Darius Susa. scrolls and palmettes ,,,brick,molded brick,pâte siliceuse [faïence],pottery forming techniques,,,,Brick from Darius' palace in Susa,,- 600 - 501,,,,,,,,,,,Donation from the Louvre Museum,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,,,,,,,,,,,,,,,,
MIC,,"2967,1","2967,1","2967,1 (2).JPG
2967,1 (4).JPG",pâte siliceuse [faïence],faïence,pâte siliceuse,FALSE,brique d'angle,corner brick,-2500,TRUE,364,Iran {Asie} (Elamite),Iran {Asia} (Elamite),FALSE,2,2,"5,5 cm et 9 cm","6,5 h, largeur 8,5 cm ",,morceau d'une brique d'angle donc difficile de savoir le % lacunaire. ,(?),incomplete,"burn mark, powderiness",poor,incendiary grenade,"les creux des parties gravés sont remplies de particules noires ( vitrification altérée ?), traces rouges commes les deux objets précédents (est-ce qu'on a un paterne des dégâts des pâtes siliceuses par le feu ?). ","also on deposit of the Louvre. In the pre-war letter of donation, the description speaks of a “glazed” corner brick. At present, no enamel is visible, but a different color can be seen between the reverse and the back. Was the enamel drunk, burnt away; or was the description erroneous at the time of its entry into the collections? In any case, in the cuneiform characters, traces of carbonized vitrification.",,"également dépôt du Louvre. Dans la lettre de donation d'avant guerre, la description parle d'une brique d'angle ""émailléé"". À l'heure actuelle aucun émail visible, mais entre l'envers et le revers on note un couleur différente. Matériau brut au verso et couche banche mais impégnée dans la matière au recto (émail ?). est-ce que l'émail a été bu, a disparu par le feu; ou description érronée à l'époque de son entrée dans les collections ? en tout cas dans les caractères cunéiformes traces de vitrifications carbonisés. ",,,,"2967,1",,,,,,"Babylonian angle brick, with cuneiform inscriptions",,,corner brick,angle brick,pâte siliceuse [faïence],pottery forming techniques,,cuneiform inscriptio,,Babylonian angle brick,,-500,,,,,,,,,,,Donation from the Louvre Museum,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv,,,,,,,,,,,,,,,
MNC,17,416_2,416_2,416_2 (6).JPG,céladon [grés],grés,céladon,FALSE,gobelet [décors en relief],goblet [with raised decoration],(?),TRUE,156 (?),Chine {Asie} ,China {Asia},FALSE,19,19,"5 cm ou plus, 6 entre 5 et 3 cm, le reste 3 cm ou moins ","8 cm de haut , 9cm de diamètre ",,moins de 10 %,<10,complete archeological profile,cracked / split,good,explosive bomb,"éclats sur les lèvres, un fragment flottant ","historical inventory: “two cups, ? flower shape, large celadon craquelé; Ancienne fabrication” entered the collections in 1806.",,,,,,416_2,,,,17,,"flower-shaped cup, large celadon crackle. Old manufacture",,,goblet [with raised decoration],goblets,céladon [grés],pottery forming techniques,,flower,,Celadon goblet,,(?),,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,16,16868,16868,,grès,grés,,FALSE,bouteille ,bottle,(?),TRUE,56,Belgique {Europe},Belgium {Europe},FALSE,,,,,,difficile à remonter ,(?),complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,,Engraved underneath; Keram stoneware; Old labels; 88 bis & Vase n˚ 984 n°924 Les Biches Unn.Unn.,,,,,,16868,,,,16,,large bottle in dark and light brown stoneware with vegetal decoration. ,,,bottle,bottles,grès,pottery forming techniques,,vegetal decoration,,Large stoneware bottle,,(?),,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,32,10169_665,10169_665,"10169_665 (10).JPG
10169_665 (2).JPG
10169_665 (3).JPG
10169_665.JPG",céladon [grés] ; métal,mixte (grés + métal),céladon,FALSE,jatte,large bowl,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,46,46,"2 entre 16 et 14 cm, 3 entre 8 et 10 cm, 4 entre 6 et 4 cm, 14 entre 4 et 2 cm, 21 entre 2 et 0 cm ","18 cm  de long, 20 cm de large , 11,5 cm de hauteur ",,15-20 %,15-20,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,"encrassement, lacunes, traces de l'ancienne étiquette sous la base ","many missing parts in the mass, glaze adhesion problem ?Strange given the nature of the object/ decorations with different techniques two matte friezes (with relief decorations but also engraved)",,,,,,10169_665,,,,32,,bluish greenish vase with two lion-head handles and two friezes on the outside in unglazed brown.,,,large vase,vases,céladon [grés] ; métal,pottery forming techniques,,lion heads,,vase with lion-head handle ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,32,10169_483,10169_483,10169-483 (7).JPG,céladon [grés]; métal,mixte (grés + métal),céladon,FALSE,vase,vase,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,64,64,"1 entre 16 et 18 cm, 9 entre 10 et 8 cm, 7 entre 8 et 6 cm, 10 entre 6 et 4 cm, 27 entre 4 et 2 cm, 10 entre 2 et 0cm","20 cm de haut , 21,5 cm longeur, 19 cm de large. ",,15-20%,15-20,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,"encrassement, lacunes, 2-3 pts d'impactes possibles, ",Mixed decor technique like the previous one: part in unglazed frieze with relief and other engraved decorations,,,,,,10169_483,,,,32,,Blue vase with two lion-head handles and one frieze on the outside in unglazed brown.,,,vase,vases,céladon [grés]; métal,pottery forming techniques,,lion heads,,vase with lion-head handle ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,32,10169_45,10169_45,"10169-45 (2).JPG
10169-45 (3).JPG",céladon [grés] ; métal,mixte (grés + métal),céladon,FALSE,vase,vase,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,9,9,"2 entre 12 et 14, 3 entre 6 et 4 cm, 2 entre 4 et 2 cm, 2 moins de 2 cm","24,5 cm de haut, 15 cm de large , 13 cm de long ",,presque complet il manque une des anses en forme de lion (moins de 10%),<10,complete,"cracked / split, dust / dirtying",good,explosive bomb,"encrassement, tressaillage , éclats ",Mixed decor technique like the previous one: part in unglazed frieze with relief and other engraved decorations,,,techique de décor mixte comme le précédent partie en frise non glaçuré avec décors en reliefs et d'autres gravés ,,,10169_45,,,,32,,"Porcelain stoneware, cracked vase, unglazed brown band with relief decoration, lion's head handles ",,,vase,vases,céladon [grés] ; métal,pottery forming techniques,,lion heads,,neck vase with lion-head handle ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,32,10169_513,10169_513,"10169-513 (3).JPG
10169-513 (6).JPG",céladon [grés] (?),grés,céladon,TRUE,vase à goulot ,vase with narrow neck,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,11,11,"1 entre 14 et 16 cm, 1 entre 10 et 8 cm, 3 entre 4 et 6 cm, 4 entre 4 et 2 cm, 2 moins de 2 cm ","17 cm de haut, 12 cm de diamètre ",,"0,15",15,complete archeological profile,"dust / dirtying, cracked / split",good,explosive bomb,"encrassemnt, éclat sur la lévre, fêle au niveau du goulot, trace de l'ancienne étiquette sous le pied ",,,,,,,10169_513,,,,32,,Globular celadon bottle with foot; speckled pattern with white stripes below the neck,,,vase with narrow neck,vases,céladon [grés] (?),pottery forming techniques,,,,Celadon neck vase,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,38 ( porte le numéro 427),8283,8283,"8283 (13).JPG
8283 (14).JPG
8283 (18).JPG",grès [salé],grés,salé,FALSE,cruche,jug,XVII,TRUE,276,Allemagne {Europe},Germany {Europe},FALSE,13,13,"1 entre 14 et 16 cm, 1 entre 12 et 14, 3 entre 8 et 10 cm, 2 entre 6 et 8 cm, 4 entre 4 et 2 cm, 2 moins de 2 cm. ","22 cm de haut, 16 cm de long, 14 cm de large ",,environ 30%,30,incomplete,"cracked / split, aging of old restauration products, lack of adhesion of the glaze",poor,explosive bomb,"très lacunaire, décollement de la glaçure, point d'impact visible, tesson flottant sans connexion avec les autres (est-ce qu'il faut parti de l'objet ?), traces de plâtre (ancienne resto ? Donc déjà lacunaire ?)","medallion portrait with Latin inscription LVDOVICUS X(illegible but probably LOUIS XIV) ANCIAE. ETN: REX.CHR.1679 = corresponds to the date Alsace joined the kingdom of France. This coin was sold in 1882 near Cany (Seine-Inférieure), and entered the collections in 1883.",,,,,,8283,,,,38 ( porte le numéro 427),,"Basic ovaoid jug with cylindrical neck, glazed on a blue background with purple ornamentation and rosettes. On the front is a portrait of King Louis XIV surrounded by the following inscription: Ludovicus XIIII Franciae et N(avarra) Rex Chr(istianissimus) 1679. The manufacturer's monogram, composed of the letters PR, is at the base of the cartouche surrounding the royal bust.",,,jug,jugs (vessels),grès [salé],pottery forming techniques,, King Louis XIV,,Stoneware with portrait of King Louis XIV in medallion ,,1600-1699,,Manufactured in Höhr Grenzhausen (Duchy of Massau) ,manufacture in Höhr Grenzhausen,,,,,,,,This piece was sold in 1882 near Cany (Seine-Inférieure),,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,38 ( porte le numéro 427),7148,7148,"7148 (12).JPG
7148 (2).JPG
7148 (5).JPG",grès [salé]; métal ,mixte (grés + métal),salé,FALSE,chope à bière ,beer mug,XVII,FALSE,276 (?); 528 (?); 826 (?),Allemagne (?); Hollande(?); Angleterre (?) {Europe} (étiquette avec écrit fabrication Hollandaise barrée et corrigée Coblence ? Illisible),Germany / Netherlands / England (?) {Europe} (label with “Dutch manufacture” crossed out and corrected to “Coblence”? Illegible),TRUE,36,36,"1 entre 14 et 16 cm, 2 entre 12 et 14 cm, 1 entre 10 et 12 cm, 7entre 8 et 6cm, 15 entre 6 et 4, 8entre 4 et 2 cm, 2 moins de 2 cm","22 cm de haut , 16 cm de Long, 12 cm de large (diamètre)",,"0,3",30,complete archeological profile,"cracked / split, powderiness, dust / dirtying",poor,explosive bomb,"lacunaire, encrassement, éclats, corrosion de la partie métallique (pulverulence rouge = présence de produit de corrosion de ferreux donc alliage avec du fer )","old label under the foot: ""Grès Céram Fabrication Hollandaise fin du XVIIe siècle. Monsieur Monvoisin, vendeur."" Dutch crossed out and replaced by another inscription in green pencil = Koblenz? Difficult to decipher? the observation column of the inventory contains other illegible information. So English or German stoneware? date of entry into the collections 1876.",,,,,,7148,,,,38 ( porte le numéro 427),,"Porcelain stoneware. Spherical jug with cylindrical neck and hinged wrought-iron lid. Yellowish-gray paste; decoration engraved at the tip, forming a blue-enameled checkerboard band between two friezes of foliage standing out against a blue enamel background; on the front, an embossed crest reproducing below a royal crown the letters GR enameled in blue and surrounded by ornaments in relief, monogram of George I, King of England. The collar is covered with brown enamel and decorated with vertical parallel striations. ",,,beer mug,mugs (cups),grès [salé]; métal ,pottery forming techniques,,royal crown; George I King of England ,,Dutch beer mug with the monogram of Georges 1st King of England ,,1600-1699,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,23,1200_4,1200_4,"1200_4 (1).JPG
1200_4 (19).JPG
1200_4 (7).JPG
1200_4 (8).JPG",celadon [grés] ; bronze,mixte (grés + métal),céladon,FALSE,vase bouteille,vase-bottle,XVII - XVIII,FALSE,156,Chine {Asie},China {Asia},FALSE,6,6,"2 parties pour la panse et la base très gros fragments : 1 20x21 cm Lxl, 1 18x19cm Lxl, 1 col 18 cm L, 2 moyens fragments : 1 10 cm L, 1 7 cm L et un petit fragment moins de 2 cm","40cm h, 22 cm de diamètre",,moins de 10%,<10,complete archeological profile,cracked / split,good,explosive bomb,"point d'impact visible petit trou sur la panse, avec autour lignes de cassures principales et fissures importantes, petits éclats sur le dragon et éclats le long des cassures","rather good condition, perhaps traces of old restoration on dragon? Two cracks with traces of what looks like retouching (slight protrusions). Firing chips. Date of entry into the collection 1829.",,,,,,1200_4,,,,23,,"large spheroid bottle; greenish celadon enamel. A salamander with bifurcated tail in high relief embraces the neck, with reddish and greenish spots (gilded bronze circles, Louis XIV period). ",,,vase-bottle,vases,celadon [grés] ; bronze,pottery forming techniques,,salamander with bifurcated tail,,Celadon neck vase with dragon around the neck,,1600 - 1799,,,,,,,,,,,Donation from Mr. Alphonse de Cailleux ,Mr. Alphonse de Cailleux Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv,,,,,,,,,,,,,,,
MNC,37,10169_437,10169_437,,Porcelaine [dure],porcelaine,dure,FALSE,vase ,vase,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,255 réparti  en 13 minnigrip ,255,"pour les gros tessons (+ de 8 cm de longueur) typologie plutôt allongées, et pointue (tranchant comme une lame) pour les plus petites tessons formes plutôt carré ou rectangulaire, pour les très petis morceaux (4 cm et en dessous ) forme plutôt triangulaire avc pointe et tranchant comme pour les plus grand tessons ","col 15 cm de D, base 13 cm de D, Hauteur ? Largeur ?",,"0,1",10,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,"empoussièrement, tressaillage, jaunissement (incrustation de la glaçure)","already reconditioned at the roux spitz worksite, find the corresponding photo in the folder with the other info. Given the number of fragments, it could be a large object, but it's hard to tell. The % lacunar despite the number of fragments is low (hard porcelain is a good sign).",,"déjà reconditionné pdt le chantier roux spitz, trouver la photo correspondante dans le dossier avc les autres infos. Vu le nombres de fragments, pourrait s'agir d'un objet de taille importante, mais difficile de se rendre compte. Le % lacunaire malgré le nombre de fragment est faible (porcelaine dure bon signe).",,,,10169_437,,,,37,,Slightly ovoid vase with wide neck and flared lip; blue and white plant motif ,,,vase,vases,Porcelaine [dure],,,,,Large porcellain vase,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,393,393,"393 (1).JPG
393 (10).JPG
393 (9).JPG",Porcelaine [dure],porcelaine,dure,FALSE,vase ,vase,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,36,36,majorité de fragments en formes de lames,"19 cm de haut, 7 cm de diamètre",,"0,15",15,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,"empoussièrement, éclats, petites lacunes un peu partout : panse, pied. Deux points d'impacts visibles sur la panse",,,,,,,393,,,,17,,small Chinese porcelain vase with blue background and gold decoration ,,,vase,vases,Porcelaine [dure],,,,,small Chinese vase with blue background and gold decoration ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,353,353,"353 (1).JPG
353 (2).JPG",Porcelaine [dure] ,porcelaine,dure,FALSE,tasse à vin chaud,cup for mulled wine,XVII - XVIII,TRUE,156,Chine {Asie},China {Asia},FALSE,2,2,"cassure en biais à la moitié environ, donc deux ""gos""fragments équivalents de 8 cm.","10, 2 cm  de long, 8,5 cm de large, 1,3 cm de haut;",,moins de 10% ,<10,complete,cracked / split,very good ,explosive bomb,,juste un manque sur le bord supérieur. entrée dans les collections en 1806,,"juste un manque sur le bord supérieur. Inventaire historique : ""porcelaine de Chine ; petite tasse à vin chaud à quatre lobes, décor bleu sous couverte : figures, ?, à l'anvers inscriptions rapportant qu'elle a été fabriquée dans la salle (la maison) de la source du bonheur."" entrée dans les collections en 1806. ",,,,353,,,,17,,"Chinese porcelain; small four-lobed mulled wine cup, blue underglaze decoration: figures, in reverse inscriptions stating that it was made in the room (house) of the source of happiness.",,,cup for mulled wine,wine cups,Porcelaine [dure] ,pottery forming techniques,,,,small blue and white china porcelain cup,,1600 - 1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,362_4,362_4,"362_4(1).JPG
362_4(6).JPG",Porcelaine [dure],porcelaine,dure,FALSE,petite fiole,small vial,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,2,2,"cassure en biais à la base du col, 1 morceau 2 cm et un morceau 4 cm ","6,4 cm de haut, 3cm de diamètre.",,complet,0,complete,cracked / split,very good ,explosive bomb,"deux éclats sur le col, et deux à la base",,,dépôt du louvre ?,,,,362_4,,,,17,,Porcelain miniature vase decorated with blue and white characters.,,,small vial,vials,Porcelaine [dure],pottery forming techniques,,,,small blue and white Chinese porcelain vial ,,1800-1899,,,,,,,,,,,Deposit of the Musée du Louvre,Louvre Museum Deposit,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,345,345,"345 (13).JPG
345 (9).JPG",Porcelaine ,porcelaine,,FALSE, tasse ,cup,XVIII,FALSE,156 (?),Chine (?) {Asie},China {Asia},TRUE,3,3,"tasse 3 morceaux : la tasse presque compléte 5 cm, deux morceaux plus petits 2 cm. ","soucoupe 9,7 cm de diamètre, 2 cm de haut. Tasse : 3 cm de haut et 5,5 cm de diamètre ",,"tasse presque complète juste un éclat, ",<5,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,"encrassement, éclats, fêles",,,"la forme ouverte (soucoupe) est plus lacunaire que la tasse (forme fermée), ? Pq ? Est-ce que pcq un esemble et le choc de l'un contre l'autre à fait se dégrader plus la soucoupe ? Ou alors la soucoupe a protégé un peu la tasse dans la chute ? Inventaire historique : ""Porcelaine de Chine ; autre petite tasse à vin chaud de même forme ; décor fleural et treillis en camaïeu de rouge. XVIIIe siècle"". Entrée dans les collections en 1806. ",,,,345,,,,17,,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,,,cup,cups (drinking vessels),Porcelaine ,pottery forming techniques,,loral and latticework decoration,,small china porcelain cup,,1700-1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,345.1,345 (1),"345 (13).JPG
345 (9).JPG",Porcelaine ,porcelaine,,FALSE,soucoupe,saucer,XVIII,FALSE,156 (?),Chine (?) {Asie},China {Asia},TRUE,7,7,"Soucoupe : 7 morceaux. 2 entre 8 et 10 cm, 1 entre 5 et 6 cm, 2 entre 2 et 4 cm, deux 2 cm ou moins. ",,,soucoupe lacunaire à 30%,<30,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,,,,,,,,345 (1),,,,17,,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,,,saucer,saucers (plates),Porcelaine ,pottery forming techniques,,loral and latticework decoration,,small china porcelain saucer,,1700-1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,,,,,,,,,,,,,,,,
MNC,17,391,391,"391 (1).JPG
391 (6).JPG",porcelaine [dure],porcelaine,dure,FALSE,gobelet,goblet,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,21,21,"3 gros fragments de plus de 8 cm, et les autres plus petits et pointus ","11,5 cm de haut, 10,5 cm de diamètre",,moins de 10% ,<10,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,encrassement,,,,,,,391,,,,17,,Blue porcelain pot with medallion and golden flower motifs.,,,goblet,goblets,porcelaine [dure],pottery forming techniques,,flowers,,blue porcelain goblet with gold patterns,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,349,349,"349 (1).JPG
349 (8).JPG",porcelaine [dure],porcelaine,dure,FALSE,corbeille,basket,before XVII,TRUE,156,Chine {Asie},China {Asia},FALSE,"49, une dizaine trop petits pour faire quoi que ce soit ",49,"1 gros fragment (la base), et quelques autres fragments de plus de 5 cm. La partie en tressaillage très cassée (diffcile à remonter)","8 cm de haut, 11 cm de long, 8 cm de large",,difficile de savoir,(?),incomplete,"dust / dirtying, cracked / split",bad,explosive bomb,encrassement,,,"ce genre de forme particulière pose question, et montre un peu les limites de cette méthode d'étude. Inventaire historique : ""Porcelaine de Chine ; Une petite corbeille pommiforme découpée à jour, munie d'une chainette en porcelaine détachée par fracture ; ancienne fabrication."" entrée dans les collections en 1806. ",,,,349,,,,17,,"Porcelain from China; A small dom-shaped basket cut to size, with a porcelain chain detached by fracture; old manufacture.",,,basket,baskets (containers),porcelaine [dure],pottery forming techniques,,,,chinese porcelain small dome-shaped basket ,,before XVII,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
