museum,inventory,pictures filenames,material,provenance (country code),provenance,number of fragments,lacunary percentage,Integrity,degradation state,condition state,weapon,observations ,NR,Collocazione fisica,Didascalia,Riproduzione digitale,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",Tecnica,Soggetti,Titolo museale,Titolo @en,Data,Autore,Collezione,"Ente
 conservatore","Luogo
 conservazione",provenance_file
MIC,"2963,1
2964,1
2965,1","2963,1-2965,1 (10).JPG
2963,1-2965,1 (11).JPG
2963,1-2965,1 (12).JPG
2963,1-2965,1 (7).JPG",faïence,364,Iran {Asia} (Achaemenid),,<40,complete archeological profile,"broken / stuck, burn mark, powderiness, lack of adhesion of the glaze",poor,incendiary grenade,,"2963,1
2964,1
2965,1",,architectural bricks from the palace of Darius Susa. scrolls and palmettes ,,brick,molded brick,pottery forming techniques,,Brick from Darius' palace in Susa,,- 600 - 501,,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,
MIC,"2967,1","2967,1 (2).JPG
2967,1 (4).JPG",faïence,368,Iran {Asia} (Achaemenid),2,(?),incomplete,"burn mark, powderiness",poor,incendiary grenade,"also on deposit of the Louvre. In the pre-war letter of donation, the description speaks of a “glazed” corner brick. At present, no enamel is visible, but a different color can be seen between the reverse and the back. Was the enamel drunk, burnt away; or was the description erroneous at the time of its entry into the collections? In any case, in the cuneiform characters, traces of carbonized vitrification.","2967,1",,"Babylonian angle brick, with cuneiform inscriptions",,corner brick,angle brick,pottery forming techniques,cuneiform inscriptio,Babylonian angle brick,,-500,,Louvre Museum Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_pâte siliceuse .csv
MNC,416_2,416_2 (6).JPG,grés,156 (?),China {Asia},19,<10,complete archeological profile,cracked / split,good,explosive bomb,"historical inventory: “two cups, ? flower shape, large celadon craquelé; Ancienne fabrication” entered the collections in 1806.",416_2,17,"flower-shaped cup, large celadon crackle. Old manufacture",,goblet [with raised decoration],goblets,pottery forming techniques,flower,Celadon goblet,,(?),,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,16868,,grés,56,Belgium {Europe},,(?),complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,Engraved underneath; Keram stoneware; Old labels; 88 bis & Vase n˚ 984 n°924 Les Biches Unn.Unn.,16868,16,large bottle in dark and light brown stoneware with vegetal decoration. ,,bottle,bottles,pottery forming techniques,vegetal decoration,Large stoneware bottle,,(?),,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,10169_665,"10169_665 (10).JPG
10169_665 (2).JPG
10169_665 (3).JPG
10169_665.JPG",mixte (grés + métal),156 (?),China {Asia},46,15-20,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,"many missing parts in the mass, glaze adhesion problem ?Strange given the nature of the object/ decorations with different techniques two matte friezes (with relief decorations but also engraved)",10169_665,32,bluish greenish vase with two lion-head handles and two friezes on the outside in unglazed brown.,,large vase,vases,pottery forming techniques,lion heads,vase with lion-head handle ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,10169_483,10169-483 (7).JPG,mixte (grés + métal),156 (?),China {Asia},64,15-20,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,Mixed decor technique like the previous one: part in unglazed frieze with relief and other engraved decorations,10169_483,32,Blue vase with two lion-head handles and one frieze on the outside in unglazed brown.,,vase,vases,pottery forming techniques,lion heads,vase with lion-head handle ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,10169_45,"10169-45 (2).JPG
10169-45 (3).JPG",mixte (grés + métal),156 (?),China {Asia},9,<10,complete,"cracked / split, dust / dirtying",good,explosive bomb,Mixed decor technique like the previous one: part in unglazed frieze with relief and other engraved decorations,10169_45,32,"Porcelain stoneware, cracked vase, unglazed brown band with relief decoration, lion's head handles ",,vase,vases,pottery forming techniques,lion heads,neck vase with lion-head handle ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,10169_513,"10169-513 (3).JPG
10169-513 (6).JPG",grés,156 (?),China {Asia},11,15,complete archeological profile,"dust / dirtying, cracked / split",good,explosive bomb,,10169_513,32,Globular celadon bottle with foot; speckled pattern with white stripes below the neck,,vase with narrow neck,vases,pottery forming techniques,,Celadon neck vase,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,8283,"8283 (13).JPG
8283 (14).JPG
8283 (18).JPG",grés,276,Germany {Europe},13,30,incomplete,"cracked / split, aging of old restauration products, lack of adhesion of the glaze",poor,explosive bomb,"medallion portrait with Latin inscription LVDOVICUS X(illegible but probably LOUIS XIV) ANCIAE. ETN: REX.CHR.1679 = corresponds to the date Alsace joined the kingdom of France. This coin was sold in 1882 near Cany (Seine-Inférieure), and entered the collections in 1883.",8283,38 ( porte le numéro 427),"Basic ovaoid jug with cylindrical neck, glazed on a blue background with purple ornamentation and rosettes. On the front is a portrait of King Louis XIV surrounded by the following inscription: Ludovicus XIIII Franciae et N(avarra) Rex Chr(istianissimus) 1679. The manufacturer's monogram, composed of the letters PR, is at the base of the cartouche surrounding the royal bust.",,jug,jugs (vessels),pottery forming techniques, King Louis XIV,Stoneware with portrait of King Louis XIV in medallion ,,1600-1699,manufacture in Höhr Grenzhausen,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,7148,"7148 (12).JPG
7148 (2).JPG
7148 (5).JPG",mixte (grés + métal),276 (?); 528 (?); 826 (?),Germany / Netherlands / England (?) {Europe} (label with “Dutch manufacture” crossed out and corrected to “Coblence”? Illegible),36,30,complete archeological profile,"cracked / split, powderiness, dust / dirtying",poor,explosive bomb,"old label under the foot: ""Grès Céram Fabrication Hollandaise fin du XVIIe siècle. Monsieur Monvoisin, vendeur."" Dutch crossed out and replaced by another inscription in green pencil = Koblenz? Difficult to decipher? the observation column of the inventory contains other illegible information. So English or German stoneware? date of entry into the collections 1876.",7148,38 ( porte le numéro 427),"Porcelain stoneware. Spherical jug with cylindrical neck and hinged wrought-iron lid. Yellowish-gray paste; decoration engraved at the tip, forming a blue-enameled checkerboard band between two friezes of foliage standing out against a blue enamel background; on the front, an embossed crest reproducing below a royal crown the letters GR enameled in blue and surrounded by ornaments in relief, monogram of George I, King of England. The collar is covered with brown enamel and decorated with vertical parallel striations. ",,beer mug,mugs (cups),pottery forming techniques,royal crown; George I King of England ,Dutch beer mug with the monogram of Georges 1st King of England ,,1600-1699,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,1200_4,"1200_4 (1).JPG
1200_4 (19).JPG
1200_4 (7).JPG
1200_4 (8).JPG",mixte (grés + métal),156,China {Asia},6,<10,complete archeological profile,cracked / split,good,explosive bomb,"rather good condition, perhaps traces of old restoration on dragon? Two cracks with traces of what looks like retouching (slight protrusions). Firing chips. Date of entry into the collection 1829.",1200_4,23,"large spheroid bottle; greenish celadon enamel. A salamander with bifurcated tail in high relief embraces the neck, with reddish and greenish spots (gilded bronze circles, Louis XIV period). ",,vase-bottle,vases,pottery forming techniques,salamander with bifurcated tail,Celadon neck vase with dragon around the neck,,1600 - 1799,,Mr. Alphonse de Cailleux Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_grès .csv
MNC,,,porcelaine,156 (?),China {Asia},255,10,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,"already reconditioned at the roux spitz worksite, find the corresponding photo in the folder with the other info. Given the number of fragments, it could be a large object, but it's hard to tell. The % lacunar despite the number of fragments is low (hard porcelain is a good sign).",10169_437,37,Slightly ovoid vase with wide neck and flared lip; blue and white plant motif ,,vase,vases,,,Large porcellain vase,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,393,"393 (1).JPG
393 (10).JPG
393 (9).JPG",porcelaine,156 (?),China {Asia},36,15,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,,393,17,small Chinese porcelain vase with blue background and gold decoration ,,vase,vases,,,small Chinese vase with blue background and gold decoration ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,353,"353 (1).JPG
353 (2).JPG",porcelaine,156,China {Asia},2,<10,complete,cracked / split,very good ,explosive bomb,juste un manque sur le bord supérieur. entrée dans les collections en 1806,353,17,"Chinese porcelain; small four-lobed mulled wine cup, blue underglaze decoration: figures, in reverse inscriptions stating that it was made in the room (house) of the source of happiness.",,cup for mulled wine,wine cups,pottery forming techniques,,small blue and white china porcelain cup,,1600 - 1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,362_4,"362_4(1).JPG
362_4(6).JPG",porcelaine,156 (?),China {Asia},2,0,complete,cracked / split,very good ,explosive bomb,,362_4,17,Porcelain miniature vase decorated with blue and white characters.,,small vial,vials,pottery forming techniques,,small blue and white Chinese porcelain vial ,,1800-1899,,Louvre Museum Deposit,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,345,"345 (13).JPG
345 (9).JPG",porcelaine,156 (?),China {Asia},3,<5,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,,345,17,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,,cup,cups (drinking vessels),pottery forming techniques,loral and latticework decoration,small china porcelain cup,,1700-1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,345 (1),"345 (13).JPG
345 (9).JPG",porcelaine,156 (?),China {Asia},7,<30,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,,345 (1),17,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,,saucer,saucers (plates),pottery forming techniques,loral and latticework decoration,small china porcelain saucer,,1700-1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,
MNC,391,"391 (1).JPG
391 (6).JPG",porcelaine,156 (?),China {Asia},21,<10,complete archeological profile,"cracked / split, dust / dirtying",fair,explosive bomb,,391,17,Blue porcelain pot with medallion and golden flower motifs.,,goblet,goblets,pottery forming techniques,flowers,blue porcelain goblet with gold patterns,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,349,"349 (1).JPG
349 (8).JPG",porcelaine,156,China {Asia},49,(?),incomplete,"dust / dirtying, cracked / split",bad,explosive bomb,,349,17,"Porcelain from China; A small dom-shaped basket cut to size, with a porcelain chain detached by fracture; old manufacture.",,basket,baskets (containers),pottery forming techniques,,chinese porcelain small dome-shaped basket ,,before XVII,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,348_2,"348_2 (2).JPG
348_2 (9).JPG",porcelaine,156 (?),China {Asia},11,0-5,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,,348_2,17,"small pitcher, white with flowers in relief",,ewer,ewers (vessels),pottery forming techniques,flowers,small porcelain ewer with floral decoration in relief ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,377_1,377_2 (1).JPG,porcelaine,156,China {Asia},15,10,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,,377_1,17,small Chinese vase with blue background and gold decoration ,,applique figurine,applied decoration,pottery forming techniques,,Chinese applique figurine,,1600 - 1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,377_2,"377_2 (1).JPG
377_2 (3).JPG",porcelaine,156,China {Asia},3,0,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,,377_2,17,small Chinese vase with blue background and gold decoration ,,applique figurine,applied decoration,pottery forming techniques,,Chinese applique figurine,,1600 - 1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,429,"429 (18).JPG
429.JPG",porcelaine,156 (?),China {Asia},4,0,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,,429,17,Porcelain figurine. Seated bald-bearded man (monk) wearing a yellow kimono with blue and red motifs. He holds a bowl in his left hand.,,figurine,figurines,pottery forming techniques,monk; bowl,figurine of a seated man cross-legged,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,371,"371 (1).JPG
371 (2).JPG
371 (7).JPG",porcelaine,156,China {Asia},18,20,complete archeological profile,"cracked / split, dust / dirtying, lack of adhesion of the glaze",poor,explosive bomb,,371,17,"Chinese porcelain;  tin bottle for tea, oblong cylindrical shape, celadon base, coloured enamel decoration: birds perched on a flower-laden shrub.",,tea storage bottle,bottles,pottery forming techniques,birds; flower-laden shrub,tea storage bottle with enamels ,,1600 - 1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,352,"352 (13).JPG
352 (14).JPG",porcelaine,156,China {Asia},11,<10,complete archeological profile,cracked / split,very good ,explosive bomb,,352,17,"Chinese porcelain; Other bowl in the form of a cylindrical basin, high feet; square handles: underglaze blue rampage decoration. Ancient manufacture.",,footed bowl with handles,bowls (vessels),pottery forming techniques,,porcelain footed bowl with blue and white decoration ,,before XVII,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,373,"373 (1).JPG
373 (2).JPG
373 (8).JPG",porcelaine,156,China {Asia},49,<10,complete archeological profile,"cracked / split, dust / dirtying, biological degradation/ presence of microorganisms",poor,explosive bomb,a few missing fragments on the neck + two impact marks on the body with missing + a few missing fragments on the neck + two impact marks on the body with missing,373,17,Chinese porcelain; thin porcelain vase. Representation of figures in an interior scene.,,vase,vases,pottery forming techniques,figures in an interior scene,Chinese porcelain vase depicting an interior scene ,,1600 - 1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,10169_259,"10169_259 (1).JPG
10169_259 (4).JPG
10169_259 (7).JPG",porcelaine,156 (?),China {Asia},31,10-20,complete archeological profile,"cracked / split, dust / dirtying, poor adhesion of the gilding",poor,explosive bomb,"clogging, problems with adhesion of the decoration around the body (painted decoration not baked) and the same for the very fragile gilded decoration on the neck.",10169_259,37,"Chinese porcelain neck vase, turquoise-blue glaze, gilded decoration on neck and shoulder (Greek frieze motif). ",,vase with narrow neck,vases,"pottery forming techniques, gilding (technique)",,turquoise bottle with gilt,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,1201,"1201 (1).JPG
1201 (4).JPG",porcelaine,392,Japan {Asia},22,<10,complete archeological profile,"cracked / split, aging of old restauration products",very good ,explosive bomb,"old wall-hanging systems still present on both, old labels front and back, impact point visible on one. Old kraft paper sleeves from the first sorting after the bombing, with pen and ink writing that reads “flat” and “porcelain”. Entered the collections in 1829.",1201,35,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",,plate,"""plates (general, dishes)""",pottery forming techniques,serpentine branches,Japanese porcelain decorative dish,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,1201 (1),"1201_4 (1).JPG
1201_4 (2).JPG
",porcelaine,392,Japan {Asia},62,<10,complete archeological profile,"cracked / split, aging of old restauration products",very good ,explosive bomb,,1201 (1),35,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",,plate,"""plates (general, dishes)""",pottery forming techniques,serpentine branches,Japanese porcelain decorative dish,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,6484_2,"6484-2 (10).JPG
6484-2 (12).JPG
6484-2 (4).JPG",porcelaine,156,China {Asia},7,<10,complete archeological profile,"cracked / split, biological degradation/ presence of microorganisms",good,explosive bomb,"label underneath stating its archaeo-maritime aspect, discovered in Sweden in 1867, traces of old restos on the shells (traces of glue, shellac type?). Historical inventory: china porcelain: a hemispherical bowl with a wide tray, buff-brown deep-fired ground, decorated on both sides of the bafsin with circular squared fleurages and friezes, in blue monochrome. Note: the pieces were part of the cargo of a ship belonging to the Swedish East India Company, which sank on reaching its destination in the port of Gottenbourg in 1745, where they remained buried until 1864, when a local merchant had them removed; reported and donated by Mr. Axel Bielke.""",6484_2,21,"china porcelain: a hemispherical bowl with a large tray, with a deep-fired buff-brown ground, decorated on the inside with blue-cameo fleurages and squared circular friezes. Note: the pieces were part of the cargo of a ship belonging to the Swedish East India Company, which sank on reaching its destination in the port of Gottenbourg in 1745, where they remained buried until 1864, when a local merchant had them removed;",,bowl,bowls (vessels),pottery forming techniques,blue-cameo fleurages,Chinese porcelain bowl with marine concretions ,,1700-1799,,Mr. Axel Bielke Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MNC,10169_372,"10169-372 (1).JPG
10169-372 (3).JPG",porcelaine,156 (?),China {Asia},13,<10,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,"two old labels under the foot, concerning the nature of the paste = water droplet test absorbs therefore porous material",10169_372,4,"Beige long vase, closed form. Crackled enamel",,vase,vases,pottery forming techniques,,small elongated vase ,,1800-1899,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv
MIC,"3460,1-3500,1 (1)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG",faïence,528,Netherlands {Europe},7,<5,complete,"burn mark, melting of the glaze, broken / stuck, fusion of exogenous elements",bad,incendiary grenade,originally a whole panel of several dozen of these tiles. We have selected only a representative sample so as not to study them all.,"3460,1-3500,1 (1)",,Dutch white and blue tiles  ,,tile for wall panel,wall tile (tile),"pottery forming techniques, pottery glazing (process or technique)",,Dutch white and blue tiles  ,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
